90
0	1	0	200
1	3	10	150
2	4	20	100
3	1	30	300
4	2	40	250
5	3	50	450
6	1	60	550
7	6	70	100
8	2	80	125
9	3	90	50
10	1	100	75
11	5	110	110
12	6	120	175
13	1	130	520
14	2	140	360
15	7	150	210
16	1	160	330
17	6	170	25
18	1	180	470
19	4	190	380
20	1	200	210
21	2	210	220
22	7	220	325
23	3	230	130
24	4	240	330
25	1	250	180
26	4	300	35
27	2	320	420
28	1	340	610
29	3	360	340
30	2	380	290
31	7	420	150
32	1	440	120
33	1	480	170
34	3	500	230
35	1	530	490
36	6	560	270
37	5	590	220
38	3	600	225
39	1	620	130
40	1	650	450
41	4	700	40
42	2	750	450
43	2	800	340
44	1	850	520
45	2	900	230
46	4	1000	220
47	3	1020	300
48	7	1100	475
49	5	1120	575
50	2	1130	10
51	4	1140	420
52	1	1150	275
53	7	1170	430
54	1	1200	375
55	3	1210	450
56	5	1240	450
57	7	1290	100
58	6	1400	110
59	2	1420	275
60	5	1500	60
61	4	1530	700
62	3	1640	260
63	2	1670	340
64	4	1700	60
65	1	1710	210
66	3	1740	80
67	3	1790	375
68	6	1800	125
69	5	1820	120
70	2	1930	640
71	6	1940	450
72	1	1950	170
73	3	2000	140
74	1	2100	280
75	3	2200	175
76	2	2300	55
77	6	2400	140
78	2	2500	180
79	5	2700	160
80	4	2900	230
81	4	3000	340
82	2	3020	65
83	2	3040	200
84	1	3100	80
85	1	3200	110
86	4	3300	40
87	1	3400	450
88	4	3500	280
89	2	3600	100
